lambda_,t,N
1.734463e+00,2.109704e+00,2.963592e-02
1.293014e+00,1.807242e+00,1.136004e-01
1.178209e+00,2.751202e+00,7.059994e-02
1.961798e+00,2.720840e+00,1.544894e-02
1.305323e+00,8.032706e-01,3.492972e-01
3.228360e-01,2.163245e+00,5.310681e-01
4.604269e-01,2.014586e-01,9.254747e-01
9.282117e-01,2.142979e+00,1.774593e-01
6.257036e-01,7.386052e-01,6.669118e-01
1.316765e+00,2.702033e-01,6.589642e-01
5.154813e-01,6.810561e-01,7.339413e-01
1.575728e+00,1.119478e+00,2.437425e-01
7.597348e-01,9.622286e-01,4.211677e-01
1.722546e+00,2.180478e+00,4.899265e-02
1.544332e+00,1.837159e+00,4.785071e-02
6.722314e-01,2.229584e+00,2.006113e-01
2.004292e-01,4.510726e-01,8.893721e-01
2.540782e-01,1.769549e+00,6.153849e-01
1.757792e+00,2.914118e+00,7.913638e-03
1.011486e+00,8.510207e-01,3.954669e-01
1.195229e+00,2.726747e+00,4.480813e-02
7.880386e-01,2.216774e+00,1.946786e-01
1.497490e+00,2.267563e+00,8.850555e-02
8.708714e-01,1.260646e+00,3.543090e-01
1.351348e+00,1.935541e-01,7.710584e-01
3.764632e-01,4.451002e-01,8.431607e-01
9.296096e-01,1.439351e+00,2.714555e-01
1.341092e+00,1.537368e+00,1.176716e-01
3.727439e-01,1.334347e+00,6.157315e-01
8.627545e-01,2.209586e+00,1.424337e-01
8.062403e-01,5.251873e-01,6.921796e-01
1.487304e-01,9.199372e-01,9.036517e-01
6.315905e-01,2.183414e+00,2.173947e-01
3.787802e-01,2.518902e+00,4.116035e-01
1.113989e-01,1.653364e+00,8.403365e-01
1.028809e+00,2.173930e+00,1.019558e-01
1.743719e+00,2.225795e+00,3.764860e-02
4.243300e-01,2.698129e+00,3.118966e-01
2.532088e-01,7.595586e-01,8.566766e-01
1.853780e+00,1.064414e+00,1.578205e-01
1.478077e+00,2.471696e+00,3.671749e-02
5.083964e-01,9.918914e-01,6.049229e-01
5.977126e-01,2.891990e-01,8.285893e-01
5.510570e-01,2.995245e+00,2.214379e-01
5.123016e-01,8.473596e-01,6.478605e-01
1.348252e+00,1.027776e+00,2.525477e-01
6.292940e-01,1.900263e+00,3.607962e-01
1.696705e-01,1.197044e+00,8.259512e-01
1.831060e+00,2.452975e-01,6.035729e-01
9.418354e-01,2.150342e+00,1.000682e-01
1.915639e+00,2.526183e+00,3.698772e-03
7.827416e-01,1.361128e-01,9.373758e-01
3.683933e-01,5.333095e-01,8.417956e-01
1.586979e+00,2.319392e+00,-1.562882e-03
4.228847e-01,1.148959e+00,6.011393e-01
1.851599e+00,1.061965e+00,1.192504e-01
1.516232e+00,2.588647e+00,6.502613e-02
4.389147e-01,1.503783e+00,5.149569e-01
1.988819e+00,1.600425e+00,5.277254e-02
8.066671e-01,2.889559e+00,1.480250e-01
6.196072e-01,2.463348e-01,8.438661e-01
1.908078e+00,2.250298e+00,-6.943289e-03
6.378274e-01,9.962301e-01,5.588416e-01
1.029166e+00,3.875512e-01,6.946580e-01
1.382747e+00,1.211995e+00,2.053716e-01
1.434567e+00,5.869815e-01,4.108159e-01
1.028317e+00,1.788179e+00,1.723119e-01
8.814537e-01,1.372317e+00,2.310862e-01
1.664030e+00,1.335899e+00,1.194618e-01
1.364173e+00,2.471330e+00,-3.575008e-02
1.354007e+00,2.313288e+00,-1.919585e-02
6.810878e-01,5.580035e-01,6.954490e-01
2.010116e-01,1.074693e+00,7.993036e-01
6.423681e-01,2.766237e+00,1.666484e-01
1.973942e+00,6.327235e-01,3.074181e-01
1.220016e+00,4.081355e-01,5.933059e-01
1.983227e+00,6.345801e-01,2.603151e-01
1.593398e+00,2.304568e+00,3.426113e-02
1.434025e+00,1.052179e+00,2.137255e-01
1.923760e-01,2.412107e+00,6.150965e-01
9.610393e-01,9.776139e-01,3.967010e-01
2.742379e-01,1.532266e+00,6.534836e-01
1.930416e+00,2.402676e+00,4.208711e-02
3.354423e-01,1.464469e+00,6.096877e-01
1.880931e+00,2.241457e+00,-3.032942e-02
7.576528e-01,4.345216e-01,6.713402e-01
9.422585e-01,1.030747e+00,4.020120e-01
1.667369e+00,1.478095e+00,5.952270e-02
1.820796e+00,2.594148e+00,3.445819e-02
1.142125e+00,2.268324e+00,6.945179e-02
1.561505e+00,5.881199e-01,4.076609e-01
4.049311e-01,5.371705e-01,8.355011e-01
1.346101e+00,3.554830e-01,6.021018e-01
2.210863e-01,4.653949e-01,9.199272e-01
6.995654e-01,2.083757e+00,2.276230e-01
1.168975e+00,1.230712e+00,2.079185e-01
1.835547e+00,1.479069e+00,9.558188e-02
7.099543e-01,2.666581e-01,7.995422e-01
1.438904e+00,3.045143e-03,9.594099e-01
1.740558e+00,2.716040e+00,1.548044e-02
5.432767e-01,6.808488e-01,6.918631e-01
1.806429e+00,2.152554e+00,1.108981e-02
1.777363e+00,3.150997e-01,5.384929e-01
1.309905e+00,1.068618e+00,2.589250e-01
1.667200e-01,1.998158e+00,7.344263e-01
6.853627e-01,2.231335e+00,2.265811e-01
6.883081e-01,5.543413e-02,9.782093e-01
5.079018e-01,7.813408e-01,6.152965e-01
9.417164e-01,3.411409e-01,7.191505e-01
1.379477e+00,2.391089e+00,-1.652211e-03
1.630946e+00,3.545296e-01,5.838787e-01
1.705826e+00,2.437470e+00,-5.056216e-02
3.188831e-01,1.811370e+00,5.787641e-01
1.907490e+00,2.620260e+00,2.663982e-02
3.000519e-01,1.375135e+00,6.744491e-01
7.010837e-01,1.983048e+00,2.985846e-01
8.120218e-01,1.776631e+00,2.080195e-01
6.922889e-01,1.286679e+00,4.235581e-01
3.824391e-01,1.380599e+00,5.735595e-01
3.978218e-01,2.485837e+00,4.130168e-01
1.258006e+00,5.172133e-01,5.271398e-01
2.629017e-01,2.564252e+00,4.905365e-01
1.746167e+00,5.565349e-01,3.848361e-01
2.376789e-01,1.028542e+00,8.162320e-01
4.485028e-01,2.604387e+00,2.853853e-01
1.758723e+00,1.446156e+00,4.705981e-02
7.576476e-01,5.312518e-01,6.649820e-01
8.533821e-01,2.510288e+00,1.394347e-01
1.350908e+00,9.964066e-01,2.516162e-01
3.114261e-01,7.872210e-01,7.632465e-01
1.923627e+00,2.854760e+00,-7.074191e-03
1.017477e+00,2.203698e+00,7.475221e-02
1.794733e+00,1.904507e+00,2.601139e-02
1.853958e+00,1.494878e+00,8.025443e-02
2.680213e-01,9.553033e-01,7.792048e-01
9.768541e-01,6.544863e-01,5.253753e-01
1.269820e+00,1.498055e+00,1.466008e-01
8.437971e-01,4.558592e-01,6.495523e-01
1.047914e+00,1.271250e+00,3.237297e-01
8.750223e-01,1.317385e+00,3.137798e-01
8.907425e-01,1.100676e+00,3.769812e-01
9.584490e-01,2.122509e+00,1.502622e-01
1.777727e+00,1.329130e+00,1.059797e-01
3.219632e-01,7.574626e-02,1.025600e+00
1.906334e+00,1.833245e+00,-7.712052e-04
9.567602e-01,1.694799e+00,2.073147e-01
6.431465e-01,2.029605e+00,2.354808e-01
8.498530e-01,1.829384e+00,1.779281e-01
1.933454e+00,9.174180e-01,1.528367e-01
1.835784e+00,7.292419e-01,2.790907e-01
6.985891e-01,2.230200e+00,1.987585e-01
1.711919e+00,2.412119e+00,-3.682329e-02
1.043127e+00,2.141131e+00,1.109385e-01
6.698674e-01,5.984797e-01,6.612092e-01
4.253307e-01,1.240734e+00,6.356507e-01
2.128170e-01,2.283523e+00,5.697327e-01
1.141079e+00,1.541757e+00,1.504656e-01
1.647223e+00,1.581079e-01,8.010960e-01
5.198959e-01,8.858272e-01,6.195754e-01
1.012314e+00,1.883052e+00,1.608481e-01
6.544332e-01,1.076891e+00,5.439263e-01
1.937183e-01,1.170901e+00,7.978684e-01
1.494154e+00,3.530060e-01,6.132944e-01
1.733308e+00,9.484550e-01,1.993166e-01
1.821318e+00,3.859489e-01,4.836051e-01
8.019809e-01,2.025063e+00,1.736814e-01
5.995946e-01,1.073241e+00,5.227000e-01
1.032692e+00,1.522350e+00,2.096163e-01
3.957411e-01,2.564920e+00,3.627386e-01
9.974033e-01,2.536321e+00,8.559146e-02
7.317760e-01,2.209315e+00,2.056069e-01
9.989736e-01,2.704684e+00,6.718023e-02
1.505756e-01,2.746319e+00,6.930115e-01
1.047092e+00,2.397843e+00,5.457348e-02
1.354673e+00,1.628466e+00,1.426266e-01
1.441801e+00,7.264898e-02,9.189764e-01
9.005089e-01,4.568035e-01,6.501992e-01
1.196808e+00,1.280532e-01,8.493021e-01
1.719304e+00,8.346539e-01,2.925197e-01
3.729611e-01,1.172171e+00,6.483700e-01
4.642316e-01,1.112168e+00,5.727290e-01
6.915698e-01,1.378489e-01,8.555320e-01
2.558656e-01,2.949896e+00,4.687142e-01
7.541923e-01,6.059630e-02,9.812314e-01
1.597319e+00,6.075224e-01,3.362834e-01
1.091133e+00,1.222341e+00,2.840873e-01
1.573998e+00,7.584791e-01,3.425225e-01
1.877943e+00,8.953017e-01,1.846558e-01
1.497423e+00,2.224007e+00,3.368016e-02
1.243516e-01,1.439949e+00,7.978951e-01
1.061970e+00,2.725712e+00,2.903684e-02
1.210872e+00,1.267782e+00,2.710462e-01
1.961691e+00,8.280519e-01,1.664837e-01
1.820737e+00,2.522495e+00,6.646359e-02
1.906844e+00,2.100061e-01,6.582062e-01
1.719985e+00,7.095772e-01,2.702789e-01
1.837457e+00,3.486926e-02,9.426822e-01
5.215461e-01,2.749025e+00,2.492112e-01
9.689807e-01,1.578029e+00,2.651539e-01
1.557959e+00,9.443722e-01,1.977499e-01
7.986129e-01,6.364079e-01,5.682249e-01
1.858266e+00,2.442207e+00,2.726750e-02
1.016271e+00,2.602097e+00,1.039518e-01
7.178595e-01,2.338339e+00,2.279657e-01
1.864217e+00,2.465869e+00,2.886635e-02
1.166726e+00,7.923700e-01,4.347699e-01
7.263062e-01,2.864595e+00,1.036357e-01
7.846412e-01,2.269452e+00,1.305773e-01
2.860958e-01,6.518426e-01,8.353891e-01
1.394331e+00,2.808245e+00,6.981104e-03
8.904391e-01,5.343960e-01,6.387025e-01
3.954161e-01,2.608105e+00,3.461924e-01
1.361993e+00,1.555480e+00,1.517539e-01
1.306234e+00,6.069177e-01,4.632637e-01
1.192529e+00,2.977949e+00,2.956464e-04
5.247961e-01,2.009016e+00,3.309335e-01
1.472852e+00,2.057239e+00,3.177810e-02
5.436094e-01,2.657415e+00,2.115092e-01
1.314277e+00,9.317962e-01,3.203225e-01
1.485380e+00,2.908573e+00,3.769350e-02
2.236138e-01,2.597894e+00,5.479847e-01
1.591787e+00,2.114673e-01,6.997073e-01
1.908485e+00,1.271858e+00,1.546489e-01
8.341573e-01,2.526105e+00,1.634090e-01
1.708019e+00,2.391349e+00,-2.340365e-02
1.183914e+00,2.432110e+00,6.215120e-03
1.991751e+00,5.583104e-01,2.983941e-01
1.877006e+00,4.268357e-03,9.819902e-01
1.931274e+00,2.171007e+00,2.169933e-02
1.722238e+00,5.832595e-01,4.010558e-01
1.550515e+00,2.065512e+00,1.245062e-02
2.668058e-01,2.364255e+00,5.460482e-01
1.114168e-01,1.234518e-01,9.853722e-01
1.452305e+00,1.128999e+00,1.577390e-01
1.645476e+00,1.218276e+00,1.551205e-01
9.017204e-01,1.311790e+00,2.682583e-01
1.018856e+00,1.071994e+00,2.999255e-01
1.914669e+00,2.736324e+00,-1.810164e-02
8.848124e-01,2.354348e+00,1.472881e-01
1.379870e+00,2.361093e+00,5.064479e-02
1.493426e+00,1.463358e+00,1.429184e-01
1.864601e+00,9.165441e-01,1.641411e-01
8.519771e-01,1.797162e+00,1.386858e-01
6.042109e-01,2.473402e+00,1.927738e-01
1.476451e+00,7.495557e-01,3.271921e-01
1.611327e+00,2.598802e+00,4.165025e-02
1.914391e+00,1.450555e+00,5.922784e-02
1.785358e+00,4.679810e-01,4.759517e-01
7.381627e-01,1.400144e+00,3.530901e-01
1.779111e+00,1.772918e-01,7.157499e-01
1.614899e+00,4.755033e-01,4.447116e-01
3.013357e-01,2.465878e-02,9.938542e-01
2.987018e-01,8.483899e-01,7.255525e-01
3.333615e-01,2.440849e+00,3.611459e-01
1.630488e+00,1.481546e+00,9.173386e-02
5.517371e-01,2.124665e+00,3.261785e-01
1.428047e+00,1.008196e+00,1.813671e-01
1.516300e+00,9.983521e-01,2.088279e-01
1.892609e+00,4.638161e-01,3.841720e-01
1.174721e+00,1.248391e+00,2.241641e-01
1.087238e+00,2.218992e+00,1.052126e-01
1.208738e+00,1.967894e+00,8.742378e-02
3.396128e-01,2.215918e+00,4.842377e-01
1.497190e+00,8.102466e-01,2.342606e-01
1.572761e+00,6.827454e-01,3.275033e-01
1.898664e+00,6.093240e-01,2.998855e-01
5.671891e-01,1.504433e+00,4.183818e-01
1.409719e+00,1.266801e+00,1.351759e-01
1.850612e+00,1.347243e+00,9.740038e-02
1.124420e+00,1.200155e+00,2.803080e-01
1.416157e+00,8.604053e-01,2.500897e-01
1.041871e+00,2.310757e+00,8.701020e-02
9.800356e-01,2.276363e+00,9.971237e-02
2.999614e-01,2.513816e+00,4.887936e-01
3.075926e-01,2.032970e+00,5.199256e-01
1.728886e+00,1.250282e+00,8.292211e-02
1.875800e+00,1.918719e+00,1.320393e-02
1.369048e+00,1.575455e+00,1.230223e-01
5.028354e-01,2.522390e-01,9.208592e-01
1.804481e+00,5.297966e-01,4.076366e-01
1.510575e+00,2.575858e+00,7.971191e-02
2.782550e-01,1.206159e+00,6.823819e-01
9.409588e-01,3.600948e-02,9.608563e-01
9.511783e-01,1.003431e+00,3.955160e-01
4.663979e-01,2.283100e+00,3.747515e-01
1.723170e+00,1.651631e+00,2.456748e-02
2.850347e-01,5.913119e-01,8.587577e-01
9.766762e-01,3.466882e-01,7.095003e-01
1.758638e+00,2.517854e+00,4.622127e-02
7.610216e-01,7.747910e-01,5.378214e-01
6.173293e-01,4.651958e-01,7.223221e-01
9.774074e-01,2.051165e+00,1.512121e-01
1.442247e+00,1.058861e+00,2.288125e-01
6.772287e-01,1.756049e+00,2.792730e-01
1.166832e+00,9.852544e-01,2.804273e-01
1.527820e+00,2.038087e+00,2.101754e-02
1.698438e+00,1.683959e+00,1.819185e-02
1.694755e+00,2.175996e+00,6.687285e-02
7.284398e-01,2.275596e+00,2.297921e-01
1.196653e-01,1.256260e+00,8.955340e-01
1.204265e+00,2.804443e-01,6.854666e-01
1.344808e+00,1.343637e+00,1.478630e-01
1.779095e+00,1.577756e+00,8.021411e-02
2.002967e-01,1.786503e+00,7.352603e-01
1.009028e+00,1.883177e+00,1.642256e-01
3.191092e-01,1.052533e+00,7.264467e-01
3.932017e-01,2.346699e+00,3.505695e-01
1.725587e+00,1.526316e+00,1.480696e-01
1.131470e+00,1.019293e-01,8.732201e-01
1.901249e+00,8.417016e-01,1.747700e-01
2.438486e-01,5.450925e-01,8.940502e-01
1.209575e+00,2.410009e-01,7.824834e-01
1.324388e+00,1.357282e+00,1.676235e-01
1.704799e+00,1.450267e+00,7.451588e-02
7.322139e-01,2.671962e+00,2.001114e-01
1.136455e+00,1.906342e+00,7.207858e-02
4.419870e-01,2.442751e-01,8.655017e-01
1.056608e+00,2.233425e+00,1.102498e-01
1.469752e+00,1.416704e+00,8.677387e-02
1.566700e+00,2.373286e+00,2.897169e-02
1.361624e+00,2.861332e+00,3.148269e-02
3.061927e-01,2.994221e+00,4.354085e-01
1.734546e+00,9.245086e-02,8.257810e-01
5.144428e-01,2.814574e+00,2.294214e-01
1.654116e+00,2.978829e+00,2.070115e-02
1.090839e+00,7.660754e-01,3.970390e-01
1.532966e+00,1.446764e+00,1.319841e-01
2.981496e-01,1.697019e+00,5.722191e-01
1.619358e+00,2.012112e+00,1.621549e-02
6.199003e-01,1.160961e+00,4.565965e-01
8.426326e-01,2.365143e+00,1.474067e-01
1.767507e+00,5.839457e-01,3.250952e-01
1.096174e+00,5.530773e-01,5.234147e-01
1.946649e+00,2.207109e+00,-4.899062e-02
5.813068e-01,1.893598e+00,3.571446e-01
1.343758e-01,1.335703e-01,9.944934e-01
9.075298e-01,1.812427e+00,2.107784e-01
3.997034e-01,1.351503e+00,5.933182e-01
1.381278e+00,1.932500e+00,5.562260e-02
1.233817e+00,2.949581e+00,2.362296e-02
1.132557e+00,2.912508e+00,2.884639e-03
1.719697e+00,1.155918e+00,1.327349e-01
1.286834e+00,1.203580e+00,2.150625e-01
9.721406e-01,2.685296e+00,7.865784e-02
7.708824e-01,3.868269e-01,7.483992e-01
8.092938e-01,1.118132e+00,4.361895e-01
1.953171e+00,1.062586e+00,1.447186e-01
8.376112e-01,2.464185e+00,9.978707e-02
1.029480e+00,1.731634e+00,1.945559e-01
3.216722e-01,3.650336e-01,9.202578e-01
1.158720e+00,2.603822e+00,4.199444e-02
1.114178e+00,2.118271e+00,8.179128e-02
1.165742e+00,2.492071e+00,1.019876e-01
8.728573e-01,1.571380e+00,2.292945e-01
1.828690e+00,2.069416e+00,5.543540e-03
4.281390e-01,1.177138e+00,6.290973e-01
1.056893e+00,9.915361e-01,3.580789e-01
4.437089e-01,1.550471e+00,4.967575e-01
1.482012e+00,6.158930e-01,3.716055e-01
1.770976e+00,2.211704e+00,-1.706923e-02
1.123301e+00,2.437376e+00,9.521890e-02
7.976294e-01,5.617237e-02,9.998408e-01
1.075633e+00,2.746577e+00,5.358799e-02
7.821838e-01,1.786017e+00,2.731047e-01
1.833723e+00,2.318032e+00,1.881555e-02
1.058629e+00,2.464580e+00,6.995391e-02
1.066447e+00,2.205298e+00,6.189289e-02
3.849902e-01,3.269250e-01,8.995204e-01
1.189416e+00,6.228030e-01,5.041950e-01
1.243034e+00,7.815658e-01,4.342198e-01
4.735637e-01,1.017340e+00,6.545756e-01
1.606150e+00,2.053347e+00,8.169301e-02
1.511242e+00,1.126317e+00,1.926366e-01
1.886822e+00,4.037171e-01,4.506931e-01
8.575613e-01,2.281490e+00,1.692504e-01
2.442103e-01,7.152125e-01,8.266019e-01
5.848439e-01,4.019280e-02,1.003614e+00
1.268415e+00,2.945311e+00,-8.082807e-03
1.265419e+00,2.818994e+00,6.128665e-02
4.220342e-01,2.990960e+00,3.025099e-01
1.269768e+00,2.354010e+00,6.954461e-02
1.396875e+00,2.518255e-01,6.768082e-01
1.695004e+00,6.697006e-01,3.162243e-01
5.262139e-01,9.815571e-01,6.208831e-01
3.797882e-01,1.232714e+00,6.090929e-01
1.848529e+00,1.790371e+00,1.427562e-02
6.542243e-01,1.206819e+00,4.537779e-01
9.925069e-01,2.249983e+00,9.950767e-02
1.433643e+00,2.304987e+00,2.339110e-02
1.204281e+00,2.480830e-02,1.038983e+00
7.638279e-01,1.511226e+00,2.970134e-01
1.784132e+00,2.191281e-02,9.506176e-01
1.725737e+00,2.792120e+00,1.346128e-02
1.043677e+00,2.813100e+00,8.114011e-02
1.061415e+00,7.694648e-01,4.150766e-01
1.522294e+00,2.179424e+00,4.139359e-02
2.597077e-01,2.965515e+00,4.520737e-01
1.728403e+00,7.295732e-01,2.626946e-01
8.492307e-01,2.820416e+00,1.098550e-01
8.936518e-01,6.915568e-01,5.148300e-01
3.270365e-01,6.669581e-01,8.357933e-01
1.599679e+00,7.595863e-01,2.648176e-01
1.530284e+00,1.019487e+00,2.038060e-01
7.168842e-01,8.049112e-02,9.349219e-01
4.977544e-01,1.396093e+00,4.731824e-01
8.391536e-01,3.552030e-02,9.564770e-01
1.030851e+00,2.196355e+00,1.024681e-01
1.339651e+00,2.584142e+00,8.164941e-03
1.151097e+00,2.014010e+00,1.167409e-01
1.421003e+00,1.926811e+00,7.419564e-02
3.120306e-01,2.937702e+00,4.005339e-01
1.027262e+00,1.076601e+00,3.287842e-01
6.748022e-01,9.474587e-01,5.157040e-01
3.463864e-01,2.020996e+00,5.198643e-01
2.699945e-01,1.477539e-01,9.535910e-01
4.990254e-01,2.247769e+00,3.249718e-01
4.741382e-01,1.058194e-01,8.934373e-01
1.618306e+00,2.717045e+00,3.417381e-02
1.649596e-01,1.651423e+00,7.543883e-01
5.139276e-01,2.270519e-01,9.030604e-01
1.408144e+00,7.093442e-01,3.984677e-01
8.402793e-01,1.851226e+00,2.190807e-01
7.570141e-01,1.755923e-01,8.888439e-01
9.904815e-01,3.580004e-01,7.013822e-01
1.667806e+00,1.398510e+00,6.718563e-02
1.547366e+00,2.500307e+00,3.990705e-02
1.568702e+00,4.100853e-01,5.600682e-01
4.212088e-01,2.631142e+00,3.411339e-01
5.023408e-01,1.854348e+00,3.702503e-01
1.107355e+00,8.795718e-01,3.586777e-01
4.587404e-01,9.301620e-01,6.754953e-01
6.159834e-01,9.247013e-01,5.782198e-01
7.981350e-01,6.709857e-01,5.717876e-01
6.536454e-01,8.150759e-01,5.683401e-01
3.398869e-01,5.331149e-01,8.947529e-01
8.928327e-01,1.274083e+00,3.091317e-01
1.045657e+00,2.236615e+00,9.540904e-02
7.746450e-01,2.294171e+00,1.678949e-01
7.636712e-01,7.452121e-01,5.818690e-01
1.366372e+00,2.919735e+00,7.739578e-02
1.492280e+00,2.528817e+00,6.186694e-02
1.058406e+00,2.577803e+00,5.319615e-02
8.662684e-01,1.835739e+00,2.030350e-01
8.375743e-01,4.905451e-01,6.706860e-01
2.838066e-01,1.784411e+00,5.922548e-01
2.192372e-01,2.675990e+00,5.227379e-01
1.328088e-01,2.300661e+00,7.341298e-01
1.942469e+00,2.691912e+00,3.386852e-02
7.503310e-01,1.404236e+00,3.380796e-01
2.357694e-01,1.437369e+00,7.056961e-01
5.914375e-01,1.873354e+00,2.998341e-01
1.618988e+00,1.053686e+00,1.885889e-01
1.540097e+00,7.844166e-01,2.666362e-01
1.182113e+00,1.297193e+00,1.952074e-01
3.302590e-01,1.372525e+00,6.365338e-01
1.900893e-01,1.920295e+00,7.562627e-01
1.453327e+00,9.557365e-01,1.934413e-01
3.301352e-01,1.268416e+00,6.590419e-01
1.824659e+00,2.137584e+00,7.528353e-02
4.969125e-01,2.763568e+00,2.567182e-01
1.372033e+00,1.101882e+00,1.617866e-01
1.886999e+00,1.738926e+00,-5.974808e-03
1.029741e+00,5.187625e-01,5.876975e-01
1.683295e+00,1.263541e+00,1.554777e-01
7.864997e-01,1.152677e-01,8.993737e-01
7.391464e-01,2.982331e+00,9.753202e-02
2.107283e-01,2.410807e+00,5.707507e-01
7.079334e-01,1.460607e+00,3.471325e-01
1.817619e+00,2.073928e+00,6.390673e-02
1.888350e+00,4.069097e-01,4.384902e-01
8.374797e-01,1.424131e+00,2.727950e-01
1.232295e+00,2.241329e+00,5.930087e-02
1.590508e+00,2.070302e+00,1.020209e-01
1.188225e+00,2.432133e+00,4.326254e-02
3.905306e-01,2.764804e-01,8.760161e-01
1.527219e+00,2.892501e+00,8.212791e-02
5.121671e-01,1.135702e-01,9.285062e-01
1.107708e-01,1.380357e-01,9.709090e-01
7.116646e-01,9.579605e-01,4.235229e-01
5.031903e-01,1.920189e+00,3.759980e-01
1.703053e+00,1.019030e+00,1.949671e-01
1.598341e+00,1.892970e+00,6.698140e-02
1.355193e+00,2.728555e+00,-3.568240e-02
2.471388e-01,2.627756e+00,4.888317e-01
1.804014e+00,6.078283e-01,3.221291e-01
1.057260e+00,1.599100e+00,1.386550e-01
1.438217e+00,2.529940e+00,1.358077e-02
1.480551e+00,1.280348e+00,1.917326e-01
6.376949e-01,1.674192e+00,3.558834e-01
1.799653e+00,2.607339e+00,-5.652221e-03
1.063072e-01,1.263852e+00,8.518587e-01
1.278609e+00,2.458625e+00,9.483956e-02
1.467308e+00,2.541680e+00,-7.665549e-03
1.149666e+00,6.653644e-01,4.434174e-01
1.531442e+00,1.047892e+00,2.565353e-01
6.060547e-01,1.932298e-01,8.686151e-01
1.359035e+00,1.322380e+00,1.788031e-01
1.954484e+00,6.369402e-02,9.069744e-01
1.505313e+00,4.459843e-01,5.533273e-01
4.260842e-01,2.356999e+00,3.455612e-01
1.745703e+00,6.633926e-01,3.427899e-01
1.659300e+00,2.280107e+00,1.018529e-02
1.708957e+00,2.865177e+00,3.485869e-02
1.880148e+00,1.836960e+00,2.491303e-02
9.248635e-01,2.573434e-01,7.931649e-01
1.627507e-01,3.016897e-02,9.904963e-01
4.055653e-01,2.818031e+00,3.500788e-01
1.581024e+00,8.616707e-01,2.422714e-01
7.261126e-01,1.578748e+00,3.445605e-01
6.069360e-01,7.489137e-01,6.391627e-01
1.534022e+00,1.275177e+00,8.110288e-02
2.005138e-01,3.957379e-01,9.356378e-01
1.575374e+00,2.760656e+00,-3.986618e-02
9.818653e-01,1.227756e+00,2.698960e-01
1.887235e+00,1.881409e-01,7.102174e-01
3.744375e-01,2.118129e+00,4.545419e-01
7.835734e-01,2.800692e+00,1.257967e-01
5.482862e-01,1.106665e+00,4.946739e-01
2.876942e-01,2.362465e+00,5.159041e-01
1.404808e+00,2.449906e+00,1.183180e-02
1.898834e+00,1.869182e+00,3.482036e-02
6.078229e-01,1.555326e+00,3.683701e-01
8.264657e-01,2.138412e+00,2.246191e-01
1.167504e+00,1.924320e+00,1.112662e-01
2.684168e-01,9.837886e-01,7.711822e-01
1.962154e+00,1.473741e-01,7.592275e-01
7.056369e-01,1.305479e+00,3.885054e-01
1.996117e+00,1.575862e+00,1.258162e-02
8.880441e-01,2.583623e+00,1.038038e-01
9.975166e-01,5.067826e-02,9.397486e-01
1.104237e+00,1.865634e+00,9.886851e-02
1.841544e+00,2.627863e+00,6.344359e-02
1.567778e+00,1.362695e+00,9.085487e-02
1.059997e+00,1.783668e+00,1.403860e-01
1.864986e+00,1.360362e+00,7.458257e-02
7.525623e-01,6.876534e-02,9.485030e-01
1.530116e+00,1.572624e+00,1.258581e-01
6.752289e-01,2.158981e-01,8.496991e-01
5.379702e-01,2.106658e+00,2.865072e-01
8.279560e-01,2.113186e+00,1.422348e-01
1.766677e+00,1.824059e+00,2.365475e-02
1.561180e+00,2.189077e+00,1.410337e-02
9.587094e-01,2.486435e+00,1.043344e-01
1.858743e+00,1.364134e+00,1.182302e-01
1.823393e+00,2.597091e+00,3.756663e-02
1.014614e+00,1.851981e+00,1.790923e-01
9.632933e-01,5.575605e-01,5.619095e-01
1.817548e+00,1.941544e+00,9.856752e-03
8.500083e-01,6.662682e-01,5.412531e-01
1.540602e+00,2.816473e+00,-2.518748e-02
1.227979e+00,2.658107e+00,7.360386e-02
4.417699e-01,2.919992e+00,2.580298e-01
6.851087e-01,3.375146e-01,7.554905e-01
1.763986e+00,1.949776e+00,3.772263e-02
9.727131e-01,1.509779e+00,2.311417e-01
1.984836e+00,2.163274e+00,-1.874453e-02
1.726423e+00,9.807488e-01,2.118221e-01
8.597149e-01,1.532107e+00,2.867650e-01
1.257800e+00,1.859003e+00,1.297300e-01
2.715391e-01,2.661027e-01,9.264151e-01
1.994096e-01,2.922345e+00,6.017127e-01
9.117807e-01,1.032673e-01,9.423556e-01
1.858393e+00,8.486996e-02,8.842287e-01
8.993075e-01,3.611562e-01,7.823965e-01
5.752808e-01,2.355678e+00,2.697397e-01
1.761508e+00,4.507974e-01,4.600645e-01
1.685144e+00,2.351845e-01,6.280615e-01
8.802438e-01,1.890020e+00,1.858067e-01
1.182430e+00,6.459110e-01,4.490280e-01
4.078469e-01,1.634201e+00,4.893013e-01
1.791391e+00,1.362696e+00,6.727676e-02
1.997164e+00,2.338247e+00,1.949302e-02
1.283633e+00,1.146572e+00,1.807067e-01
7.866716e-01,2.465803e+00,1.434915e-01
1.503590e+00,2.350335e+00,-2.045610e-02
8.788876e-01,9.597769e-01,4.416851e-01
1.808724e+00,2.364427e+00,3.445924e-02
1.588797e+00,1.234175e+00,1.853359e-01
8.868057e-01,4.443838e-01,6.865349e-01
1.639744e+00,4.117964e-01,5.376007e-01
1.793880e+00,2.520155e+00,1.325951e-02
1.997700e+00,3.828033e-01,4.619581e-01
