n,T,V,P
1.933767e+00,2.138158e+02,9.722966e-01,3.535535e+03
5.890650e+00,1.355737e+02,5.030171e+00,1.319976e+03
9.144802e+00,3.559742e+02,9.876360e+00,2.740350e+03
3.097189e+00,3.749369e+02,8.172899e+00,1.181299e+03
8.150915e+00,1.792125e+02,1.453529e+00,8.355278e+03
4.613342e+00,4.544751e+02,2.890432e+00,6.030773e+03
3.986069e+00,3.916646e+02,6.658672e+00,1.949313e+03
6.967012e+00,4.232668e+02,3.275209e+00,7.485689e+03
4.160850e+00,4.941900e+02,3.360511e+00,5.087222e+03
3.899060e+00,4.633186e+02,2.212237e+00,6.789191e+03
3.920588e+00,1.699715e+02,6.919210e+00,8.007201e+02
2.757284e-01,3.564903e+02,8.671907e+00,9.423769e+01
7.552670e+00,4.651189e+02,4.199084e+00,6.955366e+03
1.720315e+00,4.531379e+02,4.491744e+00,1.442891e+03
9.843133e+00,3.924232e+02,6.384570e+00,5.029982e+03
5.900666e+00,3.472431e+02,3.572307e+00,4.768655e+03
4.222137e+00,2.374748e+02,2.463031e+00,3.384465e+03
3.310568e+00,1.629794e+02,2.742908e+00,1.635438e+03
2.059539e+00,2.876805e+02,8.967858e+00,5.492901e+02
1.112288e+00,4.505178e+02,8.264037e+00,5.041350e+02
6.258846e+00,3.256675e+02,3.672729e+00,4.614130e+03
6.275188e+00,4.903799e+02,4.028296e+00,6.351088e+03
6.423099e+00,2.903759e+02,8.967314e+00,1.729230e+03
5.335044e+00,4.276063e+02,3.346309e+00,5.667952e+03
3.677290e+00,2.507103e+02,5.759036e+00,1.330946e+03
5.379494e+00,2.592804e+02,1.421584e+00,8.157340e+03
6.657940e+00,2.063697e+02,3.711687e+00,3.077687e+03
2.364394e+00,4.772953e+02,3.651778e+00,2.569288e+03
4.184525e+00,4.822122e+02,9.854841e+00,1.702334e+03
7.581847e+00,4.546576e+02,2.827284e+00,1.013678e+04
6.123674e+00,2.137935e+02,3.702885e+00,2.939520e+03
4.019002e+00,1.926799e+02,6.529442e+00,9.860267e+02
1.825361e+00,4.090211e+02,8.671420e+00,7.158371e+02
5.252375e+00,1.390652e+02,4.211722e+00,1.441865e+03
8.617189e+00,1.867851e+02,1.387818e+00,9.642404e+03
2.860525e-01,1.468984e+02,5.622266e+00,6.213860e+01
6.608995e+00,3.219996e+02,1.985098e+00,8.912897e+03
9.328820e+00,1.147436e+02,4.333956e+00,2.053434e+03
7.871827e+00,2.949476e+02,5.203877e+00,3.709398e+03
8.853703e+00,4.768138e+02,2.434113e+00,1.441926e+04
9.618953e+00,4.734861e+02,6.698618e+00,5.652750e+03
7.332172e+00,1.444105e+02,7.052467e+00,1.248246e+03
3.485255e+00,4.396586e+02,9.690120e+00,1.314713e+03
2.334713e+00,1.832831e+02,5.141639e+00,6.919332e+02
1.221115e+00,3.194783e+02,8.964702e+00,3.618030e+02
6.199140e+00,1.915333e+02,4.744710e+00,2.080540e+03
5.384472e+00,3.107936e+02,8.525652e+00,1.631915e+03
2.306709e+00,2.329476e+02,3.099174e+00,1.441502e+03
4.371583e+00,1.754456e+02,8.114404e-01,7.858410e+03
7.574366e+00,2.180537e+02,4.521506e+00,3.036943e+03
5.887587e-01,4.664733e+02,9.577775e+00,2.384018e+02
4.664700e+00,4.633038e+02,9.689596e-01,1.854359e+04
1.551374e+00,4.065901e+02,2.947006e+00,1.779518e+03
8.552242e+00,1.471350e+02,8.399503e+00,1.245525e+03
3.911576e+00,4.125077e+02,5.671247e+00,2.365458e+03
3.904359e+00,4.328998e+02,5.976903e+00,2.351099e+03
1.531812e+00,1.495217e+02,7.335650e+00,2.595859e+02
6.171377e+00,2.025947e+02,1.274184e+00,8.158083e+03
3.467387e+00,1.691880e+02,2.989797e+00,1.631324e+03
7.113126e+00,3.220504e+02,8.963648e+00,2.124758e+03
7.519143e+00,2.191099e+02,4.858495e+00,2.819282e+03
5.415542e+00,4.180694e+02,4.588908e-01,4.101956e+04
6.448522e+00,2.141058e+02,3.945761e+00,2.909162e+03
4.079475e+00,3.180808e+02,1.542609e+00,6.993520e+03
4.796114e+00,2.054735e+02,4.005132e+00,2.045684e+03
4.564102e+00,1.792321e+02,6.078825e+00,1.118823e+03
1.906001e-01,3.297683e+02,1.970301e+00,2.652220e+02
6.358327e+00,1.586419e+02,7.131920e+00,1.175884e+03
3.788035e+00,3.141373e+02,1.628688e+00,6.074431e+03
1.306177e-01,4.382494e+02,4.725707e+00,1.007086e+02
2.651987e+00,1.157062e+02,9.392698e+00,2.716111e+02
4.312844e-01,4.929218e+02,7.945291e+00,2.224549e+02
1.739876e+00,3.615717e+02,7.734295e+00,6.762418e+02
5.319291e+00,3.497110e+02,8.192038e-01,1.887909e+04
7.159150e+00,3.450920e+02,9.246691e+00,2.221365e+03
5.096367e+00,4.978591e+02,2.829126e+00,7.456325e+03
6.417032e+00,4.326244e+02,5.465475e+00,4.223061e+03
6.416105e+00,1.007660e+02,4.953883e+00,1.085050e+03
2.919238e+00,4.939544e+02,9.022647e+00,1.328717e+03
2.029865e+00,4.262262e+02,6.044611e+00,1.190006e+03
8.824781e-01,4.754539e+02,6.531865e+00,5.340540e+02
9.869471e+00,2.531316e+02,2.560792e+00,8.111029e+03
2.902529e+00,4.260295e+02,1.298955e+00,7.914662e+03
7.593978e+00,1.922381e+02,9.224782e+00,1.315718e+03
6.911818e+00,2.294859e+02,6.165655e+00,2.138844e+03
1.795084e+00,1.816722e+02,3.737740e+00,7.253942e+02
9.781896e+00,2.579577e+02,8.336038e+00,2.516645e+03
1.113413e+00,4.386226e+02,3.183946e+00,1.275238e+03
2.560579e+00,3.137497e+02,3.635258e+00,1.837369e+03
7.057959e+00,1.355415e+02,1.919637e+00,4.143260e+03
6.733409e+00,1.960330e+02,8.382238e+00,1.309225e+03
5.353062e+00,4.395977e+02,2.577442e+00,7.590648e+03
7.754728e+00,1.619532e+02,8.479816e+00,1.231345e+03
5.639030e+00,3.205756e+02,9.128553e+00,1.646429e+03
2.287061e+00,1.784087e+02,8.706764e+00,3.896251e+02
5.608731e+00,1.834234e+02,2.618963e+00,3.265878e+03
5.852010e-01,4.900056e+02,9.008251e+00,2.646523e+02
5.505872e+00,4.637223e+02,4.369572e+00,4.857975e+03
8.102925e+00,1.537753e+02,9.409656e+00,1.100943e+03
6.831301e+00,2.480366e+02,6.602622e+00,2.133599e+03
5.540610e+00,2.436933e+02,4.242436e+00,2.646036e+03
2.321135e+00,2.590403e+02,2.438106e+00,2.050337e+03
5.318027e-01,3.443441e+02,5.646751e+00,2.696215e+02
9.689012e+00,1.331590e+02,2.870868e+00,3.736344e+03
8.981002e+00,1.711027e+02,8.763129e-01,1.457916e+04
3.624567e+00,2.986497e+02,5.952922e+00,1.511813e+03
4.582643e+00,1.885643e+02,8.628344e-01,8.326415e+03
5.599640e+00,1.497766e+02,6.977085e+00,9.994016e+02
9.476577e-01,2.434234e+02,7.444921e+00,2.576106e+02
1.119589e+00,2.512336e+02,8.435479e+00,2.772278e+02
8.966424e+00,1.796697e+02,8.582137e+00,1.560661e+03
5.605605e+00,4.612756e+02,3.759980e+00,5.717517e+03
5.653802e+00,4.390039e+02,7.527773e+00,2.741274e+03
1.812832e+00,2.511292e+02,5.624972e-01,6.728905e+03
3.061291e+00,1.689965e+02,7.274511e-01,5.912737e+03
5.427983e+00,4.533741e+02,3.267106e+00,6.262416e+03
9.280658e+00,1.402798e+02,5.888260e+00,1.838218e+03
4.766836e-01,2.570453e+02,3.703647e+00,2.750555e+02
6.191758e+00,2.321911e+02,5.096885e+00,2.345118e+03
3.766940e+00,2.151130e+02,8.397644e+00,8.022466e+02
7.694608e+00,1.565088e+02,5.601098e+00,1.787566e+03
1.061076e+00,3.069987e+02,9.066548e+00,2.987109e+02
5.529160e+00,2.948108e+02,9.056856e+00,1.496357e+03
3.904709e+00,3.401431e+02,6.287413e+00,1.756258e+03
9.642212e+00,3.814715e+02,4.180669e+00,7.314809e+03
8.408349e+00,3.070427e+02,7.646200e+00,2.807203e+03
5.318382e+00,2.349045e+02,3.814270e+00,2.723137e+03
1.483935e+00,2.254444e+02,5.327446e-01,5.220898e+03
2.719204e-01,3.471015e+02,6.495282e+00,1.208121e+02
8.682197e+00,3.081392e+02,1.961968e+00,1.133691e+04
7.086290e+00,4.324153e+02,8.409330e+00,3.029484e+03
4.782644e+00,3.735400e+02,9.692840e+00,1.532372e+03
7.965491e+00,1.337328e+02,3.024890e+00,2.927865e+03
8.190765e+00,4.800198e+02,7.764142e+00,4.210176e+03
7.907694e+00,3.370134e+02,7.372753e-01,3.005228e+04
1.459869e+00,1.587664e+02,3.478308e+00,5.540057e+02
4.027770e+00,2.175768e+02,2.417227e-01,3.014186e+04
3.899687e+00,3.142234e+02,4.291267e-01,2.374065e+04
6.987373e-01,1.719788e+02,6.154864e+00,1.623231e+02
5.241204e+00,2.598723e+02,6.963255e+00,1.626256e+03
5.850140e+00,3.447455e+02,3.795207e-01,4.418140e+04
6.024241e+00,3.745532e+02,6.493898e+00,2.888820e+03
2.739432e+00,3.023221e+02,3.333474e+00,2.065586e+03
1.306887e+00,1.756201e+02,8.615101e+00,2.214939e+02
9.815557e+00,2.443435e+02,2.905698e+00,6.862390e+03
6.736904e+00,4.622401e+02,4.657961e+00,5.558302e+03
6.657345e+00,1.496171e+02,3.209008e+00,2.580605e+03
6.241890e+00,4.718237e+02,8.669440e+00,2.824326e+03
1.376496e+00,3.829336e+02,6.315449e+00,6.939114e+02
9.161256e+00,4.602835e+02,8.795141e+00,3.986095e+03
3.014848e+00,3.344145e+02,1.467720e+00,5.711068e+03
2.271038e+00,1.345167e+02,3.313493e+00,7.665223e+02
7.806761e+00,3.780298e+02,2.440014e+00,1.005576e+04
3.577328e+00,2.704408e+02,1.064028e+00,7.559409e+03
2.881601e-01,2.134752e+02,9.207024e+00,5.554846e+01
8.232128e+00,2.864852e+02,9.883495e-01,1.983873e+04
5.112980e+00,3.563458e+02,2.815919e+00,5.379423e+03
9.672294e-01,2.618596e+02,1.734330e+00,1.214161e+03
3.101785e+00,3.993967e+02,3.172198e+00,3.246878e+03
7.734223e+00,2.762781e+02,2.940844e+00,6.040894e+03
9.230382e+00,4.621199e+02,5.365875e+00,6.609123e+03
8.140180e+00,3.528196e+02,3.316023e+00,7.200772e+03
9.200302e+00,2.846592e+02,3.279986e+00,6.638429e+03
2.244290e+00,2.931878e+02,5.590994e+00,9.784663e+02
9.645694e+00,1.052078e+02,2.559658e+00,3.296169e+03
6.726225e+00,1.039023e+02,5.815126e+00,9.991889e+02
4.578746e+00,4.381287e+02,4.110629e+00,4.057420e+03
8.925835e+00,2.087077e+02,2.810277e+00,5.511227e+03
4.236001e-01,4.973879e+02,5.928136e+00,2.954902e+02
2.719693e+00,4.805498e+02,8.666963e+00,1.253723e+03
3.115352e+00,1.168520e+02,3.463898e+00,8.737515e+02
9.590832e+00,1.144795e+02,7.771706e+00,1.174567e+03
3.100533e-01,3.156973e+02,3.298627e+00,2.467085e+02
1.186295e+00,1.196761e+02,9.712995e+00,1.215226e+02
4.678909e+00,4.102984e+02,2.403147e+00,6.641620e+03
5.130335e+00,1.209522e+02,4.018109e+00,1.283949e+03
7.305802e+00,3.721195e+02,2.764806e+00,8.175148e+03
2.931040e+00,2.899808e+02,7.454922e+00,9.478898e+02
5.385825e-01,1.095315e+02,3.945948e+00,1.242939e+02
5.366256e+00,4.213843e+02,4.712041e+00,3.989795e+03
1.621570e+00,2.306151e+02,4.528845e+00,6.865086e+02
3.656796e+00,4.042654e+02,1.315216e+00,9.345017e+03
7.016400e+00,3.881343e+02,2.356030e+00,9.610047e+03
3.815252e-01,3.838354e+02,5.421483e-01,2.245744e+03
7.099530e+00,3.400900e+02,9.178444e-01,2.187079e+04
7.199325e+00,3.368256e+02,9.613170e+00,2.097202e+03
5.794257e+00,3.643883e+02,7.755624e+00,2.263370e+03
3.045170e+00,3.301514e+02,6.265423e+00,1.334088e+03
8.455178e+00,2.495814e+02,1.885360e+00,9.305738e+03
3.629121e+00,1.597992e+02,7.611923e+00,6.334200e+02
3.014304e+00,2.356639e+02,4.047896e+00,1.459018e+03
8.970483e+00,3.748939e+02,4.058369e+00,6.889420e+03
8.655454e+00,1.658631e+02,7.886392e-01,1.513461e+04
3.337434e+00,4.812613e+02,1.975476e+00,6.759768e+03
4.400312e+00,2.345250e+02,6.612543e+00,1.297520e+03
9.297726e+00,2.583798e+02,5.786121e+00,3.451897e+03
4.024793e+00,2.583973e+02,4.497207e+00,1.922643e+03
6.771391e+00,2.650260e+02,7.277161e+00,2.050286e+03
1.358454e+00,4.081222e+02,7.959834e+00,5.790833e+02
2.477326e+00,2.024122e+02,6.383048e+00,6.531332e+02
7.077852e+00,4.984505e+02,4.813946e+00,6.093016e+03
2.035709e+00,4.197782e+02,6.420445e+00,1.106574e+03
5.983428e+00,4.920584e+02,2.814695e+00,8.696520e+03
7.489751e+00,4.168323e+02,3.459584e+00,7.502653e+03
4.490049e+00,3.138362e+02,7.082474e+00,1.654166e+03
3.057494e+00,2.778324e+02,1.641608e+00,4.302185e+03
5.143767e+00,2.102003e+02,7.080695e+00,1.269547e+03
9.299297e+00,1.348047e+02,3.404376e+00,3.061453e+03
2.778771e+00,1.327948e+02,3.218904e+00,9.530944e+02
4.478121e-01,1.319305e+02,4.728190e+00,1.038857e+02
7.081902e-01,2.657660e+02,7.021187e+00,2.228685e+02
5.094227e+00,3.833020e+02,1.635930e+00,9.923493e+03
1.304748e+00,2.005074e+02,9.428253e+00,2.306938e+02
1.809437e+00,4.656844e+02,4.060622e+00,1.725252e+03
8.175413e+00,2.260265e+02,5.211126e+00,2.948137e+03
1.242906e+00,3.051093e+02,8.357602e+00,3.772437e+02
2.428384e+00,3.179037e+02,1.683672e+00,3.812111e+03
9.043667e+00,3.150520e+02,8.348920e+00,2.837308e+03
2.597777e+00,2.075848e+02,5.839043e+00,7.678311e+02
4.149300e+00,1.835781e+02,5.699752e+00,1.111091e+03
7.455400e+00,1.429254e+02,4.640554e+00,1.909064e+03
4.432409e+00,2.692437e+02,6.029438e+00,1.645578e+03
9.840433e+00,2.464192e+02,7.401000e+00,2.724008e+03
5.186189e-01,3.448276e+02,3.176128e+00,4.681256e+02
6.532341e+00,1.837488e+02,4.011686e+00,2.487576e+03
2.833787e+00,3.348991e+02,4.757338e+00,1.658545e+03
8.482567e+00,3.594052e+02,7.506584e+00,3.376598e+03
7.712914e+00,1.665862e+02,8.467278e+00,1.261606e+03
9.187039e+00,2.927619e+02,7.329375e+00,3.050936e+03
5.317777e+00,2.551653e+02,3.355279e+00,3.362275e+03
2.216349e+00,1.925392e+02,6.502103e+00,5.456491e+02
1.305858e+00,3.825836e+02,1.487645e+00,2.792113e+03
1.106608e+00,2.237637e+02,2.854552e+00,7.212000e+02
3.755960e+00,4.980331e+02,1.014397e+00,1.533138e+04
4.134023e+00,1.878157e+02,3.758926e+00,1.717319e+03
3.188925e+00,1.894735e+02,2.419004e+00,2.076664e+03
8.806551e+00,4.633122e+02,2.695807e+00,1.258348e+04
2.580543e+00,3.672392e+02,2.308017e+00,3.413746e+03
6.021991e+00,3.513442e+02,4.127852e+00,4.261463e+03
5.474797e+00,4.443259e+02,5.106191e+00,3.960797e+03
4.868883e+00,2.227585e+02,6.484453e+00,1.390594e+03
9.766856e+00,4.823964e+02,6.543815e+00,5.986015e+03
1.442983e+00,1.979869e+02,9.956598e+00,2.385594e+02
1.673627e+00,3.710271e+02,2.553472e-01,2.021823e+04
7.833256e-01,4.335356e+02,3.062510e+00,9.219333e+02
7.321246e+00,4.938755e+02,1.472660e+00,2.041314e+04
7.202673e+00,4.075977e+02,3.442336e+00,7.090585e+03
3.702723e+00,1.901303e+02,1.986295e+00,2.946719e+03
5.773919e+00,4.678673e+02,6.526127e-01,3.441501e+04
8.862133e+00,1.068291e+02,9.789078e+00,8.040739e+02
8.183301e+00,1.689855e+02,2.456846e+00,4.679614e+03
5.846975e+00,3.327890e+02,9.437028e+00,1.714253e+03
1.563396e+00,1.218789e+02,8.082984e+00,1.959909e+02
2.876985e+00,3.332193e+02,3.095574e+00,2.574760e+03
2.190626e+00,3.518318e+02,4.538538e+00,1.411879e+03
9.292264e+00,1.815176e+02,2.255057e+00,6.218601e+03
3.019063e+00,4.389923e+02,7.907997e+00,1.393390e+03
3.797139e+00,4.815150e+02,5.042442e+00,3.014640e+03
1.790190e+00,2.604486e+02,2.628941e+00,1.474519e+03
4.911222e+00,3.513206e+02,9.200196e+00,1.559215e+03
6.570772e+00,4.699737e+02,7.113240e+00,3.609379e+03
1.319764e+00,1.362524e+02,4.292640e+00,3.482780e+02
8.242020e+00,4.720329e+02,1.362185e+00,2.374541e+04
1.897304e+00,3.587592e+02,5.623079e+00,1.006412e+03
6.119906e+00,1.294011e+02,7.431026e+00,8.860208e+02
6.228607e+00,3.829158e+02,5.716934e-01,3.468495e+04
9.061778e+00,3.864855e+02,2.934848e+00,9.921355e+03
8.035693e+00,4.764291e+02,7.106371e+00,4.479028e+03
6.023841e+00,3.826963e+02,3.885104e+00,4.933272e+03
8.168434e+00,3.178557e+02,7.946460e+00,2.716471e+03
3.636969e+00,4.906864e+02,9.557426e+00,1.552432e+03
4.347606e+00,3.846404e+02,8.044689e-01,1.728247e+04
5.588698e-01,2.938368e+02,5.289014e+00,2.581381e+02
1.548888e+00,3.189802e+02,3.176027e+00,1.293331e+03
8.901930e+00,1.335929e+02,2.726990e-01,3.625719e+04
8.096620e+00,3.564050e+02,7.985131e+00,3.004523e+03
6.173015e+00,3.119288e+02,4.822567e+00,3.319591e+03
3.445247e+00,4.746367e+02,9.633454e+00,1.411268e+03
2.892308e+00,3.728443e+02,3.571577e+00,2.510280e+03
8.997021e+00,3.593886e+02,2.189721e+00,1.227677e+04
9.507494e+00,3.033380e+02,9.132439e+00,2.625525e+03
1.541506e+00,2.274087e+02,4.675387e+00,6.233685e+02
8.001608e+00,1.571528e+02,9.270806e+00,1.127696e+03
3.003183e+00,4.967517e+02,2.111782e+00,5.873297e+03
8.363689e+00,4.820520e+02,7.240635e+00,4.629404e+03
1.997694e-01,1.908486e+02,4.699151e+00,6.745415e+01
3.487423e+00,4.143526e+02,6.312870e+00,1.903084e+03
2.610446e+00,1.342916e+02,2.099863e+00,1.387978e+03
5.598196e-01,1.353652e+02,6.310256e+00,9.984312e+01
5.786830e+00,1.405755e+02,3.489311e+00,1.938299e+03
3.003965e+00,3.339570e+02,5.802810e+00,1.437332e+03
4.266012e+00,4.578986e+02,6.735823e+00,2.411075e+03
8.731736e-01,1.011158e+02,7.391593e+00,9.930971e+01
3.345556e+00,4.067313e+02,4.851365e-01,2.331965e+04
2.853775e+00,3.294345e+02,9.813283e+00,7.964977e+02
3.722934e+00,4.810304e+02,1.232418e+00,1.208119e+04
1.309142e+00,2.512858e+02,6.958899e+00,3.930287e+02
5.878752e+00,1.360812e+02,3.987459e+00,1.668004e+03
9.943573e+00,2.974030e+02,6.153936e+00,3.995259e+03
6.930145e+00,4.522291e+02,7.652827e+00,3.404779e+03
2.363874e+00,2.223695e+02,4.371906e+00,9.996288e+02
3.020822e+00,1.493989e+02,9.381267e+00,3.999641e+02
9.538767e+00,2.146718e+02,9.893795e+00,1.720736e+03
2.205844e+00,4.025815e+02,4.884488e+00,1.511540e+03
3.784067e+00,2.669007e+02,8.135285e+00,1.032157e+03
9.571867e+00,3.054805e+02,2.935483e+00,8.281533e+03
5.288971e+00,3.183463e+02,3.438184e+00,4.071476e+03
3.142313e-01,3.011161e+02,8.402590e+00,9.362254e+01
5.606369e+00,1.240960e+02,9.244733e+00,6.256841e+02
9.878246e+00,2.669186e+02,4.281463e+00,5.120078e+03
5.142355e+00,1.593253e+02,8.270148e+00,8.236514e+02
2.757134e+00,1.986046e+02,8.080610e+00,5.633951e+02
4.307270e+00,1.881054e+02,2.593501e+00,2.597329e+03
6.150971e+00,4.135354e+02,4.848668e+00,4.361581e+03
5.887086e+00,3.141405e+02,9.625777e+00,1.597344e+03
5.271279e+00,4.648961e+02,4.619921e+00,4.410089e+03
2.630822e+00,1.748170e+02,9.202279e+00,4.155179e+02
3.307302e-01,4.351971e+02,4.625342e+00,2.587176e+02
5.762208e+00,1.735105e+02,1.113140e+00,7.467496e+03
4.143343e+00,4.779933e+02,6.875702e+00,2.394780e+03
6.799151e+00,2.787156e+02,1.373367e+00,1.147201e+04
8.625298e+00,3.803095e+02,3.943505e+00,6.915744e+03
7.163132e+00,2.302338e+02,6.755039e+00,2.029804e+03
7.624996e+00,3.799588e+02,8.165498e+00,2.949874e+03
2.023677e+00,1.285187e+02,4.005359e+00,5.398537e+02
1.047301e+00,2.255623e+02,4.516850e-01,4.348229e+03
8.368403e+00,2.800605e+02,3.444436e-01,5.657003e+04
8.417710e+00,3.757774e+02,3.322353e+00,7.915693e+03
3.287407e+00,2.920604e+02,1.541590e+00,5.178063e+03
7.965619e-01,3.696031e+02,1.269706e+00,1.927800e+03
8.978363e+00,4.700499e+02,7.885603e+00,4.449551e+03
4.040033e+00,4.949517e+02,5.384605e+00,3.087478e+03
6.878475e+00,2.093520e+02,5.855215e+00,2.044733e+03
4.767981e+00,4.160448e+02,9.407050e+00,1.753199e+03
5.245443e+00,3.009636e+02,4.265321e+00,3.077191e+03
6.562496e+00,2.731684e+02,8.516797e+00,1.749981e+03
6.529482e+00,1.756638e+02,7.147346e-01,1.334216e+04
2.969638e+00,1.616343e+02,5.601284e+00,7.124584e+02
9.450854e+00,4.328263e+02,8.447155e+00,4.026097e+03
4.549380e+00,1.442439e+02,2.739376e+00,1.991627e+03
1.002399e+00,1.209229e+02,9.268945e+00,1.087249e+02
3.101933e+00,4.695007e+02,9.952155e+00,1.216639e+03
7.815256e+00,3.172828e+02,2.667647e+00,7.728076e+03
3.802985e+00,3.138225e+02,4.984301e+00,1.990739e+03
4.598278e+00,3.213216e+02,2.860691e+00,4.294122e+03
2.156865e-01,3.423229e+02,2.972787e+00,2.064929e+02
4.568330e+00,4.387106e+02,1.360415e+00,1.224825e+04
4.305724e+00,3.459446e+02,2.846560e-01,4.350533e+04
1.462141e+00,1.664391e+02,6.105115e-01,3.314064e+03
8.883910e-01,1.264031e+02,9.064477e+00,1.029981e+02
2.579552e-01,2.942861e+02,1.207167e+00,5.228252e+02
9.275332e+00,2.757166e+02,6.517943e+00,3.262059e+03
2.623133e-01,2.494312e+02,7.979499e+00,6.817189e+01
2.676730e+00,2.342214e+02,9.695423e+00,5.376187e+02
1.323876e-01,4.148144e+02,8.485616e+00,5.380565e+01
2.519715e-01,2.168651e+02,9.047591e+00,5.021323e+01
3.481139e+00,3.396516e+02,2.638416e+00,3.725819e+03
1.995950e+00,1.469810e+02,1.534752e+00,1.589215e+03
7.858768e+00,4.154165e+02,8.928543e+00,3.039959e+03
8.158586e+00,3.725187e+02,6.699918e+00,3.771408e+03
2.856028e+00,3.955328e+02,2.935933e+00,3.198961e+03
7.835403e+00,2.934153e+02,1.047977e+00,1.823905e+04
6.397924e+00,3.983552e+02,3.642929e+00,5.816597e+03
9.773076e+00,4.799461e+02,7.969409e+00,4.893365e+03
2.286531e+00,4.154593e+02,2.409888e+00,3.277320e+03
9.319958e+00,3.726928e+02,9.146665e+00,3.157273e+03
2.721359e+00,3.715244e+02,1.327122e+00,6.333915e+03
5.157438e+00,3.714248e+02,7.438297e+00,2.141122e+03
9.988651e+00,2.354039e+02,2.901345e+00,6.738004e+03
2.433709e+00,2.152256e+02,4.406405e+00,9.882990e+02
8.348038e+00,3.732268e+02,2.632281e+00,9.840905e+03
3.118568e+00,1.996443e+02,3.641530e+00,1.421472e+03
6.940399e+00,3.167753e+02,8.478661e+00,2.155850e+03
8.512469e+00,2.551418e+02,9.155625e+00,1.972237e+03
6.168512e+00,2.631029e+02,3.047644e+00,4.427432e+03
2.096932e+00,4.548864e+02,2.736244e-01,2.898295e+04
6.274619e+00,4.951406e+02,6.735494e+00,3.834921e+03
1.220751e+00,4.819273e+02,4.515141e-01,1.083296e+04
2.815387e+00,4.273675e+02,5.676767e+00,1.762173e+03
6.759538e+00,4.129876e+02,7.269993e+00,3.192494e+03
3.354203e+00,1.998360e+02,8.849482e+00,6.297311e+02
6.579704e+00,4.935768e+02,8.200096e+00,3.292700e+03
3.380158e+00,4.566612e+02,8.073162e+00,1.589635e+03
4.611432e+00,4.378545e+02,6.381116e+00,2.630746e+03
1.979496e+00,1.758461e+02,2.622154e+00,1.103670e+03
1.658536e+00,1.961738e+02,4.250726e+00,6.363748e+02
9.932928e+00,1.117692e+02,2.714366e+00,3.400488e+03
5.861248e+00,2.986161e+02,5.889478e+00,2.470794e+03
7.559009e+00,4.743732e+02,1.893484e+00,1.574466e+04
4.588982e+00,3.257446e+02,7.816795e+00,1.589918e+03
7.354700e+00,1.233559e+02,2.652767e+00,2.843387e+03
8.605488e-01,2.204783e+02,8.719593e+00,1.809069e+02
9.051485e+00,2.528150e+02,5.370298e+00,3.542700e+03
7.000643e+00,2.483632e+02,9.719896e+00,1.487214e+03
6.761441e+00,2.316239e+02,3.133001e+00,4.155968e+03
9.771132e-01,1.081628e+02,1.471742e+00,5.970365e+02
3.830375e+00,4.345740e+02,1.747795e+00,7.918167e+03
4.165250e+00,3.558243e+02,5.947039e+00,2.071982e+03
7.127698e-01,1.868068e+02,2.507822e+00,4.414233e+02
1.603920e+00,2.552712e+02,4.020633e+00,8.466424e+02
2.000726e+00,3.810980e+02,6.040987e+00,1.049365e+03
7.575800e+00,2.640440e+02,8.633583e+00,1.926299e+03
1.481847e+00,1.931484e+02,6.005616e+00,3.962296e+02
2.200064e+00,3.462686e+02,1.089365e+00,5.814135e+03
1.676198e+00,4.670152e+02,5.861707e+00,1.110305e+03
1.489294e+00,2.704739e+02,7.215710e+00,4.641269e+02
1.080051e+00,2.907715e+02,4.559763e+00,5.726165e+02
3.227760e+00,4.453195e+02,7.208466e+00,1.657830e+03
9.638940e+00,4.058259e+02,1.344600e+00,2.418721e+04
2.842855e+00,1.238342e+02,9.477280e+00,3.088316e+02
5.007795e+00,1.660461e+02,6.109741e+00,1.131521e+03
2.108716e+00,1.271782e+02,1.471730e+00,1.515000e+03
4.197897e+00,4.058154e+02,5.101615e-01,2.776276e+04
6.935354e+00,3.733264e+02,8.454713e+00,2.546059e+03
3.312080e+00,4.683487e+02,8.927119e+00,1.444671e+03
9.510804e+00,1.318062e+02,3.072779e+00,3.391812e+03
8.476090e+00,1.445314e+02,8.615897e+00,1.182136e+03
4.326142e+00,3.971709e+02,3.168628e+00,4.508342e+03
9.186958e-01,3.503225e+02,7.141989e+00,3.746542e+02
7.976269e+00,2.935057e+02,5.691455e+00,3.419819e+03
6.722092e+00,2.197646e+02,6.454857e+00,1.902766e+03
2.540687e+00,2.022906e+02,5.964309e+00,7.164348e+02
5.319193e+00,3.298202e+02,5.034050e-01,2.897447e+04
8.782946e+00,3.633813e+02,1.856514e+00,1.429271e+04
9.898076e+00,2.455726e+02,1.027298e+00,1.967181e+04
5.033621e+00,4.029537e+02,1.010231e+00,1.669264e+04
9.992416e+00,2.995142e+02,4.233787e+00,5.877179e+03
4.353981e+00,1.263866e+02,1.396990e+00,3.274947e+03
4.797534e+00,1.205745e+02,9.992116e+00,4.813115e+02
9.963373e+00,2.860383e+02,2.747196e-01,8.624837e+04
4.587107e+00,4.237817e+02,3.521024e+00,4.590099e+03
7.082715e+00,3.639798e+02,8.582467e+00,2.497324e+03
9.669192e+00,1.941193e+02,5.487351e+00,2.843847e+03
9.186758e+00,2.048011e+02,8.854108e+00,1.766687e+03
3.397009e+00,4.377889e+02,7.940746e+00,1.557077e+03
5.728869e+00,4.066925e+02,3.450596e+00,5.613722e+03
3.121273e+00,4.237869e+02,3.435461e+00,3.201137e+03
